# PRJNA316969 Assembly Details						
# Assembly	Level	WGS	Chrs	BioSample	Strain	Taxonomy
GCA_003286755.1	Scaffold	QMHB00000000	undefined	SAMN08895444	UMB0722	Aerococcus urinae
GCA_003286695.1	Scaffold	QMHF00000000	undefined	SAMN08895448	UMB2354	Aerococcus urinae
GCA_003286735.1	Scaffold	QMHC00000000	undefined	SAMN08895445	UMB1016	Aerococcus urinae
GCA_003286635.1	Scaffold	QMHK00000000	undefined	SAMN08895453	UMB6497	Aerococcus urinae
GCA_003286565.1	Scaffold	QMHL00000000	undefined	SAMN08895454	UMB7382	Aerococcus urinae
GCA_003286665.1	Scaffold	QMHG00000000	undefined	SAMN08895449	UMB2879	Aerococcus urinae
GCA_003286645.1	Scaffold	QMHI00000000	undefined	SAMN08895451	UMB3669	Aerococcus urinae
GCA_018919305.1	Contig	JAHLMC000000000	undefined	SAMN19595176	UMB7783-2Q	Aerococcus urinae
GCA_008726885.1	Contig	VYWL00000000	undefined	SAMN12797010	UMB637	Aerococcus urinae
GCA_008726845.1	Contig	VYWK00000000	undefined	SAMN12797012	UMB970	Aerococcus urinae
GCA_008726675.1	Contig	VYWA00000000	undefined	SAMN12797023	UMB2126	Aerococcus urinae
GCA_008726285.1	Contig	VYVI00000000	undefined	SAMN12797043	UMB8711	Aerococcus urinae
GCA_008726475.1	Contig	VYVT00000000	undefined	SAMN12797031	UMB7049	Aerococcus urinae
GCA_008726385.1	Contig	VYVN00000000	undefined	SAMN12797038	UMB8614	Aerococcus urinae
GCA_008726315.1	Contig	VYVK00000000	undefined	SAMN12797041	UMB8662	Aerococcus urinae
GCA_002871935.1	Scaffold	PNHQ00000000	undefined	SAMN07511387	UMB0240	Aerococcus viridans
GCA_002847765.1	Scaffold	PKGU00000000	undefined	SAMN08193642	UMB0064	Alloscardovia omnicolens
GCA_002861485.1	Contig	PKGT00000000	undefined	SAMN08193643	UMB0006	Alloscardovia omnicolens
GCA_002871895.1	Scaffold	PNHP00000000	undefined	SAMN07511388	UMB0204	Anaerococcus hydrogenalis
GCA_002847745.1	Scaffold	PKGS00000000	undefined	SAMN08193644	UMB0119	Anaerococcus octavius
GCA_002858875.1	Scaffold	PKLA00000000	undefined	SAMN08193647	UMB0728	Bacillus sp. UMB0728
GCA_002858905.1	Scaffold	PKLB00000000	undefined	SAMN08193646	UMB0893	Bacillus sp. UMB0893
GCA_002871465.1	Scaffold	PNGA00000000	undefined	SAMN07511391	UMB0899	Bacillus sp. UMB0899
GCA_002861455.1	Scaffold	PKGQ00000000	undefined	SAMN08193648	UMB0915	Bifidobacterium breve
GCA_002871815.1	Scaffold	PNHM00000000	undefined	SAMN07511392	UMB0089	Bifidobacterium breve
GCA_002861445.1	Scaffold	PKGP00000000	undefined	SAMN08193649	UMB0788	Bifidobacterium longum
GCA_002871795.1	Scaffold	PNHL00000000	undefined	SAMN07511393	UMB0905	Brachybacterium sp. UMB0905
GCA_002871435.1	Scaffold	PNFZ00000000	undefined	SAMN07511394	UMB0680	Brevibacterium luteolum
GCA_002871875.1	Scaffold	PNHK00000000	undefined	SAMN07511395	UMB1301	Brevibacterium paucivorans
GCA_002861415.1	Scaffold	PKGO00000000	undefined	SAMN08193650	UMB0426	Brevibacterium ravenspurgense
GCA_002847805.1	Scaffold	PKHU00000000	undefined	SAMN08193651	UMB0112	Campylobacter ureolyticus
GCA_002871775.1	Scaffold	PNHJ00000000	undefined	SAMN07511396	UMB1094	Citrobacter freundii
GCA_002847785.1	Scaffold	PKHS00000000	undefined	SAMN08193653	UMB0042	Corynebacterium amycolatum
GCA_002861405.1	Scaffold	PKHT00000000	undefined	SAMN08193652	UMB0338	Corynebacterium amycolatum
GCA_018919345.1	Contig	JAHLLZ000000000	undefined	SAMN19595173	UMB1310-1E	Corynebacterium amycolatum
GCA_008726645.1	Contig	VYWB00000000	undefined	SAMN12797022	UMB1310	Corynebacterium amycolatum
GCA_008726785.1	Contig	VYWH00000000	undefined	SAMN12797015	UMB1182	Corynebacterium amycolatum
GCA_008726455.1	Contig	VYVQ00000000	undefined	SAMN12797034	UMB7760	Corynebacterium amycolatum
GCA_008726215.1	Contig	VYVF00000000	undefined	SAMN12797046	UMB9184	Corynebacterium amycolatum
GCA_008726175.1	Contig	VYVD00000000	undefined	SAMN12797048	UMB9256	Corynebacterium amycolatum
GCA_002861385.1	Contig	PKHR00000000	undefined	SAMN08193654	UMB0043	Corynebacterium aurimucosum
GCA_002871735.1	Scaffold	PNHI00000000	undefined	SAMN07511397	UMB1300	Corynebacterium aurimucosum
GCA_018919245.1	Contig	JAHLMD000000000	undefined	SAMN19595177	UMB8492-1R	Corynebacterium aurimucosum
GCA_012030615.1	Contig	JAAUWA000000000	undefined	SAMN14478491	UMB7769	Corynebacterium aurimucosum
GCA_002861365.1	Scaffold	PKHQ00000000	undefined	SAMN08193655	UMB0147	Corynebacterium coyleae
GCA_002861345.1	Contig	PKHP00000000	undefined	SAMN08193656	UMB0989	Corynebacterium coyleae
GCA_012030345.1	Contig	JAAUVV000000000	undefined	SAMN14478497	UMB8490	Corynebacterium coyleae
GCA_002871755.1	Scaffold	PNHH00000000	undefined	SAMN07511398	UMB0869	Corynebacterium kroppenstedtii
GCA_002847965.1	Scaffold	PKHO00000000	undefined	SAMN08193657	UMB0763	Corynebacterium pyruviciproducens
GCA_002861325.1	Scaffold	PKHN00000000	undefined	SAMN08193658	UMB0243	Corynebacterium riegelii
GCA_002884935.1	Scaffold	PNHG00000000	undefined	SAMN07511399	UMB0792	Corynebacterium tuscaniense
GCA_002871715.1	Scaffold	PNHF00000000	undefined	SAMN07511400	UMB0908	Corynebacterium xerosis
GCA_002861085.1	Contig	PKIU00000000	undefined	SAMN08193711	UMB0211	Cutibacterium acnes
GCA_002847685.1	Scaffold	PKHM00000000	undefined	SAMN08193659	UMB0490	Dermabacter hominis
GCA_002871385.1	Scaffold	PNFY00000000	undefined	SAMN07511402	UMB0860	Dolosicoccus paucivorans
GCA_002871685.1	Scaffold	PNHE00000000	undefined	SAMN07511401	UMB0852	Dolosicoccus paucivorans
GCA_002860705.1	Scaffold	PKHV00000000	undefined	SAMN08193737	UMB0819	Enterobacter bugandensis
GCA_002848105.1	Scaffold	PKJW00000000	undefined	SAMN08193702	UMB0660	Enterobacter bugandensis
GCA_002861295.1	Scaffold	PKHL00000000	undefined	SAMN08193660	UMB0891	Enterococcus faecalis
GCA_002861285.1	Contig	PKHK00000000	undefined	SAMN08193661	UMB0048	Enterococcus faecalis
GCA_012030565.1	Contig	JAAUWL000000000	undefined	SAMN14478480	UMB0843	Enterococcus faecalis
GCA_012030535.1	Contig	JAAUWG000000000	undefined	SAMN14478485	UMB1309	Enterococcus faecalis
GCA_012030205.1	Contig	JAAUVY000000000	undefined	SAMN14478493	UMB7780	Enterococcus faecalis
GCA_003885245.1	Contig	RRUU00000000	undefined	SAMN09665215	UMB6454	Escherichia coli
GCA_003885255.1	Contig	RRUL00000000	undefined	SAMN09665225	UMB6655	Escherichia coli
GCA_003885305.1	Contig	RRUO00000000	undefined	SAMN09665221	UMB3641	Escherichia coli
GCA_003885295.1	Contig	RRUR00000000	undefined	SAMN09665218	UMB0939	Escherichia coli
GCA_003885225.1	Scaffold	RRUH00000000	undefined	SAMN09665229	UMB7431	Escherichia coli
GCA_003885125.1	Scaffold	RRUJ00000000	undefined	SAMN09665227	UMB6721	Escherichia coli
GCA_003885215.1	Contig	RRUQ00000000	undefined	SAMN09665219	UMB1093	Escherichia coli
GCA_003885195.1	Contig	RRUP00000000	undefined	SAMN09665220	UMB1161	Escherichia coli
GCA_003885155.1	Contig	RRUM00000000	undefined	SAMN09665224	UMB6471	Escherichia coli
GCA_003885145.1	Contig	RRUK00000000	undefined	SAMN09665226	UMB6713	Escherichia coli
GCA_003885095.1	Scaffold	RRUF00000000	undefined	SAMN10411421	UMB3643	Escherichia coli
GCA_003885035.1	Contig	RRUI00000000	undefined	SAMN09665228	UMB6890	Escherichia coli
GCA_003885055.1	Scaffold	RRUG00000000	undefined	SAMN10411422	UMB1221	Escherichia coli
GCA_003892355.1	Contig	RRVU00000000	undefined	SAMN09665189	UMB1284	Escherichia coli
GCA_003886455.1	Contig	RRWH00000000	undefined	SAMN09665176	UMB1012	Escherichia coli
GCA_003886735.1	Contig	RRVX00000000	undefined	SAMN09665186	UMB1225	Escherichia coli
GCA_003886695.1	Contig	RRWO00000000	undefined	SAMN09665169	UMB0906	Escherichia coli
GCA_003886675.1	Contig	RRWK00000000	undefined	SAMN09665173	UMB0933	Escherichia coli
GCA_003886635.1	Contig	RRVT00000000	undefined	SAMN09665190	UMB1285	Escherichia coli
GCA_003886565.1	Contig	RRVJ00000000	undefined	SAMN09665200	UMB1360	Escherichia coli
GCA_003886615.1	Contig	RRVS00000000	undefined	SAMN09665191	UMB1335	Escherichia coli
GCA_003886535.1	Contig	RRVB00000000	undefined	SAMN09665208	UMB3538	Escherichia coli
GCA_003886555.1	Contig	RRVD00000000	undefined	SAMN09665206	UMB2321	Escherichia coli
GCA_003886545.1	Contig	RRVC00000000	undefined	SAMN09665207	UMB2328	Escherichia coli
GCA_003886515.1	Contig	RRVA00000000	undefined	SAMN09665209	UMB4656	Escherichia coli
GCA_003886435.1	Contig	RRWB00000000	undefined	SAMN09665182	UMB1195	Escherichia coli
GCA_003886445.1	Contig	RRWG00000000	undefined	SAMN09665177	UMB1091	Escherichia coli
GCA_003886495.1	Contig	RRWL00000000	undefined	SAMN09665172	UMB0931	Escherichia coli
GCA_003886345.1	Contig	RRVV00000000	undefined	SAMN09665188	UMB1229	Escherichia coli
GCA_003886385.1	Contig	RRVZ00000000	undefined	SAMN09665184	UMB1220	Escherichia coli
GCA_003886325.1	Contig	RRVR00000000	undefined	SAMN09665192	UMB1337	Escherichia coli
GCA_003886375.1	Contig	RRVY00000000	undefined	SAMN09665185	UMB1223	Escherichia coli
GCA_003886395.1	Contig	RRWA00000000	undefined	SAMN09665183	UMB1202	Escherichia coli
GCA_003886195.1	Contig	RRVL00000000	undefined	SAMN09665198	UMB1358	Escherichia coli
GCA_003886285.1	Contig	RRVP00000000	undefined	SAMN09665194	UMB1347	Escherichia coli
GCA_003886175.1	Contig	RRVI00000000	undefined	SAMN09665201	UMB1362	Escherichia coli
GCA_003886275.1	Contig	RRVO00000000	undefined	SAMN09665195	UMB1348	Escherichia coli
GCA_003886185.1	Contig	RRVK00000000	undefined	SAMN09665199	UMB1359	Escherichia coli
GCA_003886225.1	Contig	RRVN00000000	undefined	SAMN09665196	UMB1354	Escherichia coli
GCA_003886245.1	Contig	RRVM00000000	undefined	SAMN09665197	UMB1356	Escherichia coli
GCA_003886295.1	Contig	RRVQ00000000	undefined	SAMN09665193	UMB1346	Escherichia coli
GCA_003886135.1	Contig	RRVG00000000	undefined	SAMN09665203	UMB1727	Escherichia coli
GCA_003886115.1	Contig	RRVF00000000	undefined	SAMN09665204	UMB2019	Escherichia coli
GCA_003885995.1	Contig	RRUN00000000	undefined	SAMN09665222	UMB4716	Escherichia coli
GCA_003886095.1	Contig	RRVE00000000	undefined	SAMN09665205	UMB2055	Escherichia coli
GCA_003886045.1	Contig	RRUZ00000000	undefined	SAMN09665210	UMB4746	Escherichia coli
GCA_003885965.1	Scaffold	RRUS00000000	undefined	SAMN09665217	UMB6653	Escherichia coli
GCA_003885915.1	Contig	RRUV00000000	undefined	SAMN09665214	UMB5978	Escherichia coli
GCA_003886035.1	Contig	RRUY00000000	undefined	SAMN09665211	UMB5337	Escherichia coli
GCA_003886105.1	Contig	RRVH00000000	undefined	SAMN09665202	UMB1526	Escherichia coli
GCA_003886015.1	Contig	RRUX00000000	undefined	SAMN09665212	UMB5814	Escherichia coli
GCA_003886005.1	Contig	RRUW00000000	undefined	SAMN09665213	UMB5924	Escherichia coli
GCA_003886655.1	Contig	RRVW00000000	undefined	SAMN09665187	UMB1228	Escherichia coli
GCA_003885875.1	Contig	RRUT00000000	undefined	SAMN09665216	UMB6611	Escherichia coli
GCA_003892555.1	Contig	RRWS00000000	undefined	SAMN09665165	UMB0149	Escherichia coli
GCA_003892605.1	Contig	RRWF00000000	undefined	SAMN09665178	UMB1160	Escherichia coli
GCA_003892645.1	Contig	RRWT00000000	undefined	SAMN09665164	UMB0103	Escherichia coli
GCA_003892635.1	Contig	RRWN00000000	undefined	SAMN09665170	UMB0923	Escherichia coli
GCA_003892595.1	Contig	RRWC00000000	undefined	SAMN09665181	UMB1193	Escherichia coli
GCA_003892535.1	Contig	RRWQ00000000	undefined	SAMN09665167	UMB0527	Escherichia coli
GCA_003892485.1	Contig	RRWP00000000	undefined	SAMN09665168	UMB0731	Escherichia coli
GCA_003892375.1	Contig	RRWD00000000	undefined	SAMN09665180	UMB1180	Escherichia coli
GCA_003892545.1	Contig	RRWR00000000	undefined	SAMN09665166	UMB0276	Escherichia coli
GCA_003892445.1	Contig	RRWM00000000	undefined	SAMN09665171	UMB0928	Escherichia coli
GCA_003892435.1	Contig	RRWI00000000	undefined	SAMN09665175	UMB0949	Escherichia coli
GCA_003892475.1	Contig	RRWJ00000000	undefined	SAMN09665174	UMB0934	Escherichia coli
GCA_003892455.1	Contig	RRWE00000000	undefined	SAMN09665179	UMB1162	Escherichia coli
GCA_002861265.1	Scaffold	PKHJ00000000	undefined	SAMN08193662	UMB0789	Escherichia coli
GCA_002861245.1	Contig	PKHI00000000	undefined	SAMN08193663	UMB0900	Escherichia coli
GCA_002861225.1	Contig	PKHH00000000	undefined	SAMN08193664	UMB0901	Escherichia coli
GCA_002861205.1	Scaffold	PKHG00000000	undefined	SAMN08193665	UMB0727	Escherichia coli
GCA_001652805.1	Scaffold	LXQH00000000	2	SAMN04622947	E-78	Escherichia coli
GCA_001657975.1	Scaffold	LXGO00000000	undefined	SAMN04622672	E75	Escherichia coli
GCA_012030635.1	Contig	JAAUVS000000000	undefined	SAMN14478501	UMB9246	Escherichia coli
GCA_012029685.1	Contig	JAAUWE000000000	undefined	SAMN14478487	UMB1353	Escherichia coli
GCA_008726225.1	Contig	VYVE00000000	undefined	SAMN12797047	UMB9250	Escherichia coli
GCA_008726235.1	Contig	VYVH00000000	undefined	SAMN12797044	UMB9182	Escherichia coli
GCA_008726745.1	Contig	VYWF00000000	undefined	SAMN12797017	UMB1195	Escherichia coli
GCA_008726695.1	Contig	VYWD00000000	undefined	SAMN12797019	UMB1225	Escherichia coli
GCA_008726665.1	Contig	VYWC00000000	undefined	SAMN12797021	UMB1284	Escherichia coli
GCA_008726795.1	Contig	VYWI00000000	undefined	SAMN12797014	UMB1180	Escherichia coli
GCA_008728055.1	Contig	VYYW00000000	undefined	SAMN12797035	UMB7764	Escherichia coli
GCA_002861185.1	Scaffold	PKHF00000000	undefined	SAMN08193666	UMB0111	Facklamia hominis
GCA_002847645.1	Scaffold	PKHE00000000	undefined	SAMN08193667	UMB0898	Falseniella ignava
GCA_002871675.1	Scaffold	PNHD00000000	undefined	SAMN07511404	UMB0115	Finegoldia magna
GCA_002884895.1	Scaffold	PNHC00000000	undefined	SAMN07511405	UMB0249	Fusobacterium nucleatum
GCA_001660745.1	Scaffold	LWSR00000000	undefined	SAMN04625631	26.Dec	Gardnerella sp. 26-12
GCA_001641215.1	Scaffold	LXJL00000000	undefined	SAMN04625622	30.Apr	Gardnerella sp. 30-4
GCA_002884875.1	Scaffold	PNHA00000000	undefined	SAMN07511407	UMB0264	Gardnerella vaginalis
GCA_002884855.1	Scaffold	PNHB00000000	undefined	SAMN07511406	UMB0170	Gardnerella vaginalis
GCA_002884835.1	Contig	PNGZ00000000	undefined	SAMN07511408	UMB0768	Gardnerella vaginalis
GCA_002884795.1	Contig	PNGW00000000	undefined	SAMN07511411	UMB1642	Gardnerella vaginalis
GCA_002884775.1	Scaffold	PNGV00000000	undefined	SAMN07511412	UMB1686	Gardnerella vaginalis
GCA_002871555.1	Scaffold	PNGN00000000	undefined	SAMN07511421	UMB0388	Gardnerella vaginalis
GCA_002862065.1	Contig	PKJN00000000	undefined	SAMN08193671	UMB0682	Gardnerella vaginalis
GCA_002862045.1	Contig	PKJM00000000	undefined	SAMN08193672	UMB0233	Gardnerella vaginalis
GCA_002862015.1	Scaffold	PKJL00000000	undefined	SAMN08193673	UMB0032A	Gardnerella vaginalis
GCA_002862005.1	Scaffold	PKJJ00000000	undefined	SAMN08193675	UMB0032B	Gardnerella vaginalis
GCA_002861975.1	Scaffold	PKJI00000000	undefined	SAMN08193676	UMB0298	Gardnerella vaginalis
GCA_002861965.1	Scaffold	PKJK00000000	undefined	SAMN08193674	UMB0386	Gardnerella vaginalis
GCA_002861945.1	Scaffold	PKJH00000000	undefined	SAMN08193677	UMB0770	Gardnerella vaginalis
GCA_002861925.1	Contig	PKJG00000000	undefined	SAMN08193678	UMB0775	Gardnerella vaginalis
GCA_002861905.1	Scaffold	PKJF00000000	undefined	SAMN08193679	UMB0830	Gardnerella vaginalis
GCA_002861885.1	Scaffold	PKJE00000000	undefined	SAMN08193680	UMB0833	Gardnerella vaginalis
GCA_002861165.1	Scaffold	PKHD00000000	undefined	SAMN08193668	UMB0061	Gardnerella vaginalis
GCA_002861145.1	Scaffold	PKHB00000000	undefined	SAMN08193670	UMB0913	Gardnerella vaginalis
GCA_002861125.1	Scaffold	PKHC00000000	undefined	SAMN08193669	UMB0912	Gardnerella vaginalis
GCA_001660735.1	Scaffold	LWSQ00000000	undefined	SAMN04625558	23.Dec	Gardnerella vaginalis
GCA_001660755.1	Scaffold	LWSP00000000	undefined	SAMN04625602	18.Apr	Gardnerella vaginalis
GCA_013315215.1	Contig	JABUHA000000000	undefined	SAMN15064054	UMB0769	Gardnerella vaginalis
GCA_013315195.1	Scaffold	JABUHC000000000	undefined	SAMN15064056	UMB1489	Gardnerella vaginalis
GCA_013315145.1	Scaffold	JABUHD000000000	undefined	SAMN15064057	UMB1698	Gardnerella vaginalis
GCA_013315135.1	Contig	JABUHE000000000	undefined	SAMN15064058	UMB0742	Gardnerella vaginalis
GCA_013315115.1	Scaffold	JABUHF000000000	undefined	SAMN15064059	UMB0558	Gardnerella vaginalis
GCA_013315125.1	Scaffold	JABUHB000000000	undefined	SAMN15064055	UMB1350	Gardnerella vaginalis
GCA_013315075.1	Scaffold	JABUHG000000000	undefined	SAMN15064060	UMB0202	Gardnerella vaginalis
GCA_013315085.1	Scaffold	JABUHH000000000	undefined	SAMN15064061	UMB0358	Gardnerella vaginalis
GCA_013315045.1	Scaffold	JABUHI000000000	undefined	SAMN15064062	UMB0540	Gardnerella vaginalis
GCA_013315025.1	Scaffold	JABUHJ000000000	undefined	SAMN15064063	UMB0736	Gardnerella vaginalis
GCA_013315005.1	Scaffold	JABUHK000000000	undefined	SAMN15064064	UMB0143	Gardnerella vaginalis
GCA_013315255.1	Scaffold	JABUGZ000000000	undefined	SAMN15064053	UMB0662	Gardnerella vaginalis
GCA_002871615.1	Scaffold	PNGT00000000	undefined	SAMN07511414	UMB0186	Gemella sanguinis
GCA_002871995.1	Scaffold	PNHW00000000	undefined	SAMN07511381	UMB0652	Gleimia europaea
GCA_002871945.1	Scaffold	PNHU00000000	undefined	SAMN07511383	UMB0859	Gleimia hominis
GCA_002847845.1	Scaffold	PKJD00000000	undefined	SAMN08193682	UMB0514	Globicatella sanguinis
GCA_002847865.1	Scaffold	PKJC00000000	undefined	SAMN08193683	UMB0777	Gordonia terrae
GCA_002884755.1	Scaffold	PNGS00000000	undefined	SAMN07511415	UMB0748	Haemophilus parainfluenzae
GCA_002871375.1	Scaffold	PNFX00000000	undefined	SAMN07511403	UMB0295	Klebsiella aerogenes
GCA_002861845.1	Scaffold	PKJB00000000	undefined	SAMN08193684	UMB0140	Klebsiella pneumoniae
GCA_012030295.1	Contig	JAAUVW000000000	undefined	SAMN14478495	UMB7783	Klebsiella pneumoniae
GCA_012030275.1	Contig	JAAUVU000000000	undefined	SAMN14478498	UMB8492	Klebsiella pneumoniae
GCA_012030245.1	Contig	JAAUVZ000000000	undefined	SAMN14478492	UMB7779	Klebsiella pneumoniae
GCA_002861865.1	Scaffold	PKJA00000000	undefined	SAMN08193685	UMB0131	Kocuria rhizophila
GCA_002847825.1	Scaffold	PKIZ00000000	undefined	SAMN08193686	UMB1298	Kytococcus schroeteri
GCA_002848015.1	Scaffold	PKJX00000000	undefined	SAMN08193701	UMB0004	Lacticaseibacillus rhamnosus
GCA_001700485.1	Scaffold	MAMR00000000	undefined	SAMN05244207	OAB24-B	Lactobacillus crispatus
GCA_001700475.1	Scaffold	MAKH00000000	undefined	SAMN05244202	C037	Lactobacillus crispatus
GCA_002863245.1	Scaffold	PKKH00000000	undefined	SAMN08193691	UMB0040	Lactobacillus crispatus
GCA_002863505.1	Scaffold	PKKG00000000	undefined	SAMN08193692	UMB1398	Lactobacillus crispatus
GCA_002863485.1	Scaffold	PKKF00000000	undefined	SAMN08193693	UMB0054	Lactobacillus crispatus
GCA_002861815.1	Scaffold	PKIW00000000	undefined	SAMN08193689	UMB0085	Lactobacillus crispatus
GCA_002861805.1	Contig	PKIV00000000	undefined	SAMN08193690	UMB0824	Lactobacillus crispatus
GCA_002861765.1	Scaffold	PKIY00000000	undefined	SAMN08193687	UMB0803	Lactobacillus crispatus
GCA_002861775.1	Scaffold	PKIX00000000	undefined	SAMN08193688	UMB0044	Lactobacillus crispatus
GCA_012030075.1	Contig	JAAUWJ000000000	undefined	SAMN14478482	UMB1163	Lactobacillus crispatus
GCA_002847905.1	Scaffold	PKKE00000000	undefined	SAMN08193694	UMB0003	Lactobacillus delbrueckii
GCA_002863455.1	Contig	PKKC00000000	undefined	SAMN08193696	UMB0099	Lactobacillus gasseri
GCA_002863445.1	Scaffold	PKKB00000000	undefined	SAMN08193697	UMB0670	Lactobacillus gasseri
GCA_002863425.1	Contig	PKKA00000000	undefined	SAMN08193698	UMB0045	Lactobacillus gasseri
GCA_002884735.1	Contig	PNGR00000000	undefined	SAMN07511417	UMB0056	Lactobacillus gasseri
GCA_002940965.1	Contig	PNFW00000000	undefined	SAMN07580855	UMB0045b	Lactobacillus gasseri
GCA_007826985.1	Scaffold	VNGD00000000	undefined	SAMN12277447	UMB1399	Lactobacillus gasseri
GCA_007786065.1	Contig	VNFS00000000	undefined	SAMN12277458	UMB4205	Lactobacillus gasseri
GCA_007786195.1	Scaffold	VNGC00000000	undefined	SAMN12277448	UMB3077	Lactobacillus gasseri
GCA_007785975.1	Contig	VNFT00000000	undefined	SAMN12277457	UMB2965	Lactobacillus gasseri
GCA_007785965.1	Contig	VNFU00000000	undefined	SAMN12277456	UMB1196	Lactobacillus gasseri
GCA_007785995.1	Scaffold	VNFY00000000	undefined	SAMN12277452	UMB0607	Lactobacillus gasseri
GCA_002871595.1	Scaffold	PNGP00000000	undefined	SAMN07511419	UMB0033	Lactobacillus iners
GCA_002884705.1	Contig	PNGQ00000000	undefined	SAMN07511418	UMB0030	Lactobacillus iners
GCA_002884695.1	Scaffold	PNGO00000000	undefined	SAMN07511420	UMB1051	Lactobacillus iners
GCA_002863405.1	Scaffold	PKJZ00000000	undefined	SAMN08193699	UMB0007	Lactobacillus jensenii
GCA_002848045.1	Scaffold	PKJY00000000	undefined	SAMN08193700	UMB0077	Lactobacillus jensenii
GCA_026184025.1	Contig	JAPFWB000000000	undefined	SAMN31552329	UMB10187	Lactobacillus jensenii
GCA_026183995.1	Contig	JAPFWA000000000	undefined	SAMN31552330	UMB10320	Lactobacillus jensenii
GCA_026184135.1	Contig	JAPFWF000000000	undefined	SAMN31552325	UMB1020	Lactobacillus jensenii
GCA_026184075.1	Contig	JAPFWD000000000	undefined	SAMN31552327	UMB9248	Lactobacillus jensenii
GCA_021495005.1	Contig	JAKEYG000000000	undefined	SAMN24519003	UMB0009	Lactobacillus jensenii
GCA_021494985.1	Contig	JAKEYJ000000000	undefined	SAMN24519006	UMB6889	Lactobacillus jensenii
GCA_021495305.1	Contig	JAKEYL000000000	undefined	SAMN24519008	UMB7846	Lactobacillus jensenii
GCA_021495105.1	Contig	JAKEYI000000000	undefined	SAMN24519005	UMB6690	Lactobacillus jensenii
